text	emotion
아이가 나만 보면 용돈을 달라고 해서 피해 다니고 있어.	분노
나이가 들면서 계속 형편이 안 좋아지는 것만 같아 너무 슬퍼.	불안
남편이랑 싸워서 너무 힘들어.	불안
애를 낳는다는 것은 내 시간을 뺏기는 것이라 생각해. 요새 너무 염세적인 상태야. 너무 슬퍼.	슬픔
여자친구가 내 친구하고 더 연락을 많이 하는 거 같아.	상처
이 이메일이 실수로 연락 한 경우 support@monkeyquest.com으로 이메일을 보내주십시오.	중립
나 정말 한심한 것 같아.	당황
이기고 싶다면 지금 검색하십시오	중립
회사 업무 진행 속도가 뒤처지는 것 같아서 걱정돼.	불안
그것이 다니 니스가 테이블에 가져 오면 (그의 큰 가방 $$$$를 세지 말고), 그와의 거래가 실제로 의미가 있습니까?	중립
내가 입원해 있는 사이 마을 청년회에서 우리 집 소 여물을 잘 챙겨 줬을 거야.	당황
친구들이 나한테 말도 안 하고 내가 한 숙제를 보고 있어서 기분이 안 좋아.	분노
전학 간 학교 반에서 친한 친구가 한 명뿐인데 오늘 그 친구가 학교에 안 왔어.	불안
막내 직원이 나보다 더 좋은 아이디어를 내서 내가 조금은 부끄러워졌어.	당황
Are more available?	중립
회원 옵션을 취소하거나 변경하려면 Rhapsody.com에서 내 계정을 방문하십시오.	중립
이번에 친구 녀석이 아홉 살 연하랑 결혼한다네. 난 아직 싱글인데 부러워 죽겠네.	상처
남편은 늘 나를 무시하며 살아.	상처
눈이 찢어질 듯이 아파서 안과에 갔는데 괜찮대. 다행이지.	기쁨
저번 시험보다 평균이 더 올랐어!	기쁨
신고하려고 학교 폭력 증거를 모았는데 뺏겨 버려서 방법이 없네.	분노
새로운 예금 상품은 평균보다 이자가 두 배나 높아서 수익이 좋을 것 같아.	기쁨
나는 결점이있는 모든 거래에 대해이 절차를 따르는 것이 합리적이지 않습니다.	중립
월요일에 당신과 함께 할게요.	중립
집안일을 도와주는 사람이 있으면 좋겠어.	슬픔
난 항상 잘못만 하는 것 같아서 내가 너무 싫어. 그냥 죽고 싶어.	분노
다음 주 후 주가 점심에 가장 적합합니다.	중립
*지도를 수동으로 확인하려면 ...	중립
버거 전쟁이 가열됩니다!맥도날드와 버거 킹이 충돌하고 우리는 어떤 패스트 푸드 레스토랑을 선호하는지 알고 싶습니다.	중립
내일 첫 번째 치료 세션을 시작합니다.	중립
당사는 귀하의 제안 승인 절차를 신속하게하고 채권자 지연을 피하기 위해 회원 서류를 전자적으로 검토하고 제출하도록 요청합니다.	중립
어제 수능을 너무 제대로 봤어. 그동안의 노력을 보상받은 기분이야.	기쁨
하고 싶은 일이 많은데 이 나이에 할 수 있는 일이 제한적이고 많이 없어.	불안
IP-Address가 마지막으로 연결되었을 때와 동일하다고 가정하지 마십시오.	중립
학교 다니기 너무 외로워.	상처
더 이상 메시지를 원하지 않으면 GoHealthInsurance의 모든 이메일 커뮤니케이션에서 귀하를 제거하게되어 기쁩니다.	중립
우리가 언급하지 않은 질문이 있다면, 우리에게 알려 주시면 답변을 추적 할 수 있습니다!	중립
요즘 취업이 어려워서 너무 걱정이야.	불안
가을 밤	중립
판매 시간은 아직 지정되지 않았지만 컨벤션 등록 및 체크인과 일치 할 것입니다.	중립
정말 한심해 죽겠어. 이 나이가 되도록 이루어 놓은 것도 없고. 내 집 한 칸 없으니.	분노
이러한 모든 기술은 전자 메일, 메시징, 검색 및 비즈니스 커뮤니케이션의 트래픽 흐름에 추가됩니다.	중립
Also, please forward to me what I owe you for the plane flight and golf and our share of dinners, drinks, guacamole, etc.	중립
몇 분이 걸리고 최대한 빨리 이것을보아야합니다!	중립
수능이 가까워지는데 성적은 자꾸 떨어지고 있어서 너무 괴로워.	불안
대학 동창의 아내를 우연히 만났어. 아직도 그때 일로 괴로워하더라.	분노
원래 하려던 프로젝트에 못 들어가게 됐어.	상처
We should be back next week, though.	중립
그 부분을 전달할 수 있습니까?	중립
당뇨병 때문에 어렵게 구한 직장을 그만둬야 할 것 같아 답답하고 막막해.	상처
얼마 전 앓고 있던 병이 완치됐어. 이제 몸도 마음도 너무 편안해.	기쁨
친구들 사이가 예전 같지 않아.	분노
나는 여자친구를 많이 아끼고 사랑하는데 여자친구는 그런 것 같지 않아서 같이 있어도 너무 힘들고 외로워.	당황
나는 정량적 금융 경제학의 새로운 과학 석사 프로그램에 관한 우편으로 오늘 정보를 받았습니다.	중립
이 접근법이 발전소가 잉여 전력 판매를 위해 전력망에 최적으로 접근 할 수 있는지 여부는 확실하지 않습니다.	중립
확인 프로세스를 완료하려면 다음 페이지로 이동하십시오.	중립
이 계약의 형태를 논의하기 위해 회의를 예약 할 수 있는지 궁금합니다.	중립
오늘 후회되는 일이 있었어.	슬픔
조수 전화를 걸어 다음 주 초반에 전화를 걸었습니다.	중립
일은 열심히 하는데 티끌 모아 티끌이라고. 부자는 못 될 것 같아.	불안
폭삭 늙은 내 모습이 너무 싫어.	당황
나 오늘 생일이잖아. 딸 때문에 정말 기분이 날아갈 것 같아.	기쁨
여전히 차량을 구매하려면 www.roadloans.com에서 다시 적용 할 수 있습니다.	중립
그것이 당신을 위해 일한다면, 나는 만나서 따라 잡기 위해 어느 날 당신의 사무실에 와서 기쁩니다.	중립
특히, 우리는 다음의 이름과 주소를 찾고 있습니다.	중립
저장하는 마지막 날!	중립
화가 나서 와이프에게 막말할 때마다 죽고 싶어. 내가 배운 사람이었다면 안 이럴 텐데.	분노
만성질환 때문에 건강이 점점 나빠져서 남편에게 피해만 주는 거 같아서 죄책감이 들어.	당황
또한 Central Curve Mappings의 최신 버전을 보내 주시겠습니까?	중립
우리는 당신이 적합한 방식으로 도울 준비를 할 준비가되어 있습니다.)	중립
옷 가게에서 총각이 내가 돈이 없어 보였는지 멸시를 했어. 화가 나서 일부러 비싼 옷을 입고 다시 갔어.	분노
우리 노부부에게 하루 세끼를 다 챙겨먹는 것은 사치야. 우리는 그 정도로 넉넉하지 않아.	상처
마음에 두던 남자에게 분위기가 괜찮다고 생각해서 고백했는데 차였어.	분노
공부 잘하든 못하든 건강하게만 자라다오.	기쁨
SCAL 제품을 약간 약간 변경하십시오.	중립
이번 주에 샌드위치 휴일이 있어서 너무 좋아.	기쁨
나는 어제 당신에게 똑같은 것을 앞으로 나아갈 것입니다. 그러나 당신이 내가 멍청하다고 생각하기를 원하지 않았습니다 !!	중립
기술이 가득한 전기 배가 고픈 회사가 돌아올 때마다 튀어 나오고 큰 전력망이 덜 신뢰할 수있게되면서 더 자주 발생하는 정전 및 브라운 아웃으로 인해 분석가는 분산 에너지 서비스를 가능한 솔루션으로 지적하고 다음 BIG를 지적합니다.다가오는 10 년을위한 투자 기회.	중립
또는 다음 주까지 대화를 연기 할 수 있습니다.	중립
가족 구성원이 없다고 누가 나를 무시하지 않겠지?	당황
나 사실 다리가 불편해. 어서 취업해야 하는데 이런 나를 받아줄 곳이 있을지 걱정이야.	당황
친구들이랑 잘 화해했어.	기쁨
이번 인턴에 지원자가 너무 많아서 걱정했는데 붙었어.	기쁨
오늘 Avon에서 일자리를 신청하십시오.	중립
며칠 전에 남자친구가 나 몰래 내 친구와 문자 연락을 하는걸 봤는데 충격적이야.	상처
- 감각이 세상을 발견하는 데 도움이되는 방법	중립
지금 참여하려면 여기 $ 링크를 클릭하십시오	중립
앨리슨은 우리가 흙 속에서 약간 긁을 수 있다고 말합니다 (나는 역설적입니다). 그래서 일부 사이트 준비는 괜찮다고 확신합니다.	중립
현재, 나는 셀의 구매/판매를 위해 ENRON/CRRA에 대한 의도를 준비하고 있으며, 외부 변호인이 검토 할 개발 계약을 준비하고 있으며, FCE가 검토 할 초안 구매 계약을 제시해야합니다.	중립
나이가 들어 더는 수입이 없어지면서 가족을 부양할 수 없어서 아내와 이혼을 했어.	불안
우리 언니는 맨날 나한테 지적질 하면서 자기 잘못은 인정하려 하지 않아. 정말 스트레스 받아.	불안
너무 답답하고 우울해서 채팅으로 만난 친구한테 고민 상담을 했는데 괜한 짓을 한 것 같아.	당황
이번 수학 테스트도 망했어.	당황
더 이상 당사로부터 메시지를받지 않으려면 링크를 클릭하십시오.	중립
우리는 목요일 오후 7시 저녁 식사에 팀을 초대했습니다.같이 하실래요?	중립
우리는 어딘가에 만나야 할 것입니다.	중립
밀린 병원비 때문에 걱정이 많았는데 친구가 아무 조건 없이 돈을 줘서 해결할 수 있었어. 이런 친구가 있어서 정말 행복해	기쁨
나는 내가 전에 당신에게 물었다는 것을 알고 있지만, 나는 당신의 아빠와 자매의 이메일 주소를 실수로 삭제 한 것 같습니다.	중립
성폭행 당해 아이를 임신 했다는 사실이 나를 미치게 해.	당황
우리는 온라인 시간과 인터넷 프라이버시를 존중하기 때문에 전자 메일 주소를 제 3 자와 공유하지 않을 것입니다.	중립
아픈배우자를 간병한다는것은 참 힘든거같아.	슬픔
환경미화원이 되겠다는데 왜 친구들이 비웃는 걸까?	분노
Reddot은 비즈니스 사용자가 빨간색 점을 클릭하여 웹 사이트를 유지할 수있는 소프트웨어를 제공합니다.	중립
그녀에게 고백 후 처음으로 연락이 와서 다시 만나기로 했는데 너무 기뻐.	기쁨
18 일 저녁 식사와 금요일에 회의에 초대 할 수 있습니까?	중립
이 이메일은 GMS (Global Messaging Software) 엔진으로 구동됩니다.	중립
연애도 많이 해보고 내 생활을 즐기다가 늦게 결혼하는 것도 괜찮은 것 같아.	기쁨
나는 단지 로지가 우리 중 많은 사람들이 그녀의 물건을 보내는 것과 함께 모든 것을 넘어 가지 않도록하고 싶습니다.	중립
부모님의 과잉보호 때문에 여자친구를 아예 못 만나서 울고만 싶어.	슬픔
진실을 벗어나려고 노력할 때 우리의 떨림에 대한 더 많은 화살표.	중립
참석 한 회의에서 당신의 생각을 보내 주셔서 감사합니다.	중립
경험의 질에 대해 알려주기 위해 잠시 시간을 내면 정말 감사하겠습니다.	중립
사십대 중반이 되고 눈건강이 나빠져서 걱정이야.	불안
Dec Forward의 운송 용량 티켓에 대해 Mary 또는 Trisha와 확인해야 할 수도 있습니다.	중립
학교폭력으로 인해 너무 힘들어. 어떻게 하면 좋을까?	불안
친구 생일 선물로 시계를 샀어. 기분이 너무 좋네.	기쁨
Janelle, 나는 당신의 현재 역할에 대한 당신의 생각을 논의 할 30 분을 찾을 수 있기를 바랐습니다.	중립
정신질환으로 인한 발작이 시작되면 나는 그때를 기억 못 해서 자아 혼란이 와.	불안
오늘 만나고 싶다면 괜찮을 것입니다.	중립
AudioBox를 사용하면 미디어 파일을 믹싱하고 재생 목록을 만들고 단일 가상 클라우드를 통해 원활하게 스트리밍 할 수 있습니다.	중립
온라인 관리 프로세스를 시작하려면 다음 인터넷 주소와 비밀번호가 필요합니다.	중립
하루가 열광하기 전에 먼저 논의합시다.	중립
길 가다 아빠랑 마주쳤는데 아빠가 급하게 자리를 피했어.	불안
어제 친구와 대화하다 상처를 줘버리고 말았어. 어쩌지?	불안
이 주문에 대해 문의하려면 주문 참조 번호를 인용하십시오.	중립
오늘도 두 시간도 못 자고 뜬 눈으로 밤을 새웠어. 불면증 때문에 이렇게 힘든데 가족들은 걱정도 안 하네.	상처
나 면접에서 또 떨어졌어. 벌써 몇 번째인지 모르겠네. 정말 고통스러워.	슬픔
나는 Kern Neg.	중립
이번에 청년임대주택 청약에 떨어져서 너무 실망스러워.	슬픔
얼굴에 흉터가 있는데 이것 때문에 취업에 지장이 있을까 봐 걱정돼.	불안
나는 지금도 진로를 정하지 못했는데 고등학교에 입학하니 다들 진로를 정하라고 해.	불안
젊어서부터 공황장애를 앓아서 꾸준히 돈을 벌지 못했어. 그래서 노후준비가 부족해.	슬픔
전화로 논의 된대로 첨부 된 파일을 작성하십시오.	중립
변경하고 싶다면 알려주세요.	중립
내 아기에 관한 이메일에 감사드립니다.	중립
박 씨가 고혈압을 낫게 하는 근거 없는 민간요법을 퍼뜨려.	당황
부모님은 내 진로에 간섭이 너무 심하셔. 공무원을 하라는데 나는 흥미가 없어.	불안
토론 할 수 있도록 저에게 전화하십시오.	중립
내가 어렸을 때 좀 더 배웠더라면 더 멋진 사람들과 어울렸을 텐데. 다 내 탓이야.	분노
친애하는 친구, 나는 지금 사이트 미리보기를 사용하고 있으며 정말 재미 있고 영감을줍니다.	중립
지각을 용서하십시오.	중립
내일 (일요일)에 문을 열면 전화하겠습니다.	중립
GA가 파이프 라인 그룹에 가져온 가치에 대해 논의하고 싶은시기를 알려주십시오.	중립
진지하게, 의제는 에스컬레이션의 풍미가없는 것처럼 보이며, 현재 우리 팀의 매력적인 대안이 부족하다는 점에서 훌륭합니다.	중립
공무원이 과연 내 길인가 싶어. 여러 번 떨어지고 나니 너무 우울하고 포기하고 싶은 마음도 생겼어.	슬픔
승인과 함께 20을 충족하는지 알려주세요.	중립
게이트볼을 하게 됐는데 재미있는 취미를 새로 갖게 돼서 요새 아주 즐거워.	기쁨
따라서 특히 9/11 이후 물류를 감안할 때이 회의를 위해 달라스에 오는 것은 실용적이지 않은 것 같습니다.	중립
친구들이 내게 가까이 하지 말라고 했던 사람이 나한테 사기를 쳤어.	슬픔
타나가 참석할 것입니다.	중립
앞으로 Facebook에서 이러한 이메일을 받고 싶지 않다면 아래 링크를 따라 구독 취소하십시오.	중립
이번 달에 아들이 영양제를 보내지 않아서 너무 화가 났어.	분노
술에 취해 귀가하는 남편이 사고를 치면 뒤처리는 내가 해야 해.	분노
나 정말 억울한 일을 겪었어.	상처
Me Jump -The Ultimate Addictive Arcade Game $ 0.99 BrothersApps	중립
다음 예에서 지금 시도하십시오.	중립
이혼한 후로 경제적으로 여유롭지 않아 아이들에게 제대로 해줄 수 없어서 미안하고 서러워.	슬픔
사람들을 돕고 싶습니까?	중립
언덕에서 Flyfishing에 관한 그 책의 이름을 보내주십시오. 아마존에서 그것을 얻을 수 있는지보고 싶습니다.	중립
나는 우리가 그의 청구서에 대한 반대와 반대의 이유를 표현하기 위해 Burton에게 보낸 별도의 이메일 편지로 당신에게 전달할 것입니다.	중립
나는 배우가 되고 싶은데 부모님이 반대해서 슬퍼.	슬픔
내 코골이가 너무 심해서 이제는 아내랑 각방을 써야 할 지경이야.	불안
직장 열심히 다녔는데 남은 게 없는 것도 없고 위암 판정도 받았어. 너무 절망적이야.	슬픔
당신이 준비했을 때 나에게 holla	중립
다들 노후 준비가 걱정이라는데 나는 그렇지 않은데 내가 이상한 건가?	기쁨
PHN FORMORFORD (고정 가격) 제품을 만들기 위해 PG & E Topock 위치에 동일한 제약 언어를 포함시킬 수 있습니까?	중립
공지 이메일 받기를 중지하려면 아래를 클릭하십시오.	중립
몸이 왜 이런지 모르겠어.	불안
다음 주에 귀하의 사무실에 연락 하여이 문제에 대해 방문 할 편리한 시간을 찾을 것입니다.	중립
(713) 853-6895로 전화하여 자세히 설명하십시오.	중립
더 이상 연락하지 않으려면 아래를 클릭하여 메일 링리스트에서 제거하십시오.	중립
다음 주에 내가 우리 반 학생들 앞에서 중요한 발표를 하게 됐어. 나는 무대 공포증이 있는데 큰일이야.	당황
회사에 입사했는데 다른 사람들이랑 친하게 지내기가 어려워.	불안
취업 준비를 삼 년이나 했는데 아직도 취업을 하지 못해 슬퍼.	슬픔
위기 전반에 걸쳐 제안한 바와 같이, 캘리포니아 CRIS에 대한 모든 솔루션은 4 가지 문제에 중점을 두어야합니다. 공급 수요 증가 수요 감소 진정한 경쟁 소매 전기 시장 수익률 캘리포니아 = 01, 투자자 소유의 유틸리티는 용해도 증가 공급-수석 차량 :SB28X (SHER)는 현장에서 텍사스에서 발전소를 건설하는 데 약 2 년이 걸립니다.	중립
나는 몇 주 안에 그녀를 써서 내가 찾은 추가 리드를 후속 조치를 취할 계획이다.	중립
고부간의 갈등을 겪고 있는데 남편은 시부모님의 입장만 해서 미치겠어.	분노
아내와 이혼한지 얼마 안 됐는데 전 아내가 재혼한다는 소식을 들었어.	분노
불행히도 우리는 지금처럼 시스템을 기다리는 늦은 밤이 많이 있습니다.	중립
솔직히 그 친구가 나보다 더 잘 산다는 게 말이 안 돼.	당황
* 액세스하려는 계정의 이름을 누릅니다.	중립
당신이 당신의 마음을 말하고 싶다면,이 이메일에 직접 회신하거나 aubrey@attachments.me로 연락하면 규칙 카탈로그에 대한 개인 베타 액세스를 설정할 수 있습니다.	중립
김 영감이 자꾸 나에게 미련하다고 하네. 전에 땅을 사지 않았다고 말이야.	상처
웨스, 우리는이 거래에서 가치를 인식하는 데 아무런 문제가 없다고 생각합니다. 확인하십시오.	중립
우리는 또한 매일 아침 책상의 현금 전략으로 돌아 가야합니다.	중립
조수는 음성 메일이 남았을 때 우리의 라인을 집어 들고 우리를 암텔로 삼 깁니다.)	중립
피자 헛 스페셜을 놓치지 마십시오. 'Mailto : pizzahut@pizzahutoffers.com을 추가하십시오.	중립
귀하와 귀하의 가족을위한 올바른 건강 보험 계획을 찾도록 도와 드리겠습니다.	중립
내가 아내에게 모진 말을 많이 해서 아내와 이혼했어. 너무 죄책감이 들어.	당황
내가 뒷담을 했다고 벗들이 나랑 놀아주지 않아 나는 뒷담한 적이 전무한데.	상처
위험은 실제로 Mojave Topock에 전달되는 가치가 적을 때 운송에 대한 SJ 대 SOCAL TOPOCK (현재 2001 년의 광범위한 스프레드)의 가치를 보여주고 있습니다.	중립
나는 SW에 보내지기 전에 전략에 대해 논의하기위한 간단한 회의를 제안합니다.	중립
Britt와 Barrett, 나는 Stan이 앞으로 나아 가기로 결정하면 Barrett의 제안 된 서한을 Jad에게 보내야하기 때문에 Stan과 Ted의 토론에 대한 합의 특권을 계속 확인하는 것을 Jad에게 보내야하기 때문에 시간표를 알고 싶었습니다.	중립
당신이 그것을 볼 기회가있을 때 전화주세요.	중립
내가 오늘 정말 기쁜 날인 것 같아.	기쁨
요즘 아침에 일어나면 기운도 없고 어지럽고 그런 날이 많아져서 걱정이야.	불안
젊을 때도 우울증이 있어 휴직을 많이 했었는데 이제는 좀 심한 것 같아 퇴직 후에는 아무것도 안 해.	슬픔
말할 것도없이, 주지사의 보도 자료를 감안할 때, 나는 그가 원하는 것에 대해 조금 걱정하고 있습니다.	중립
결혼식이 다음 달인데 빨리 다음 달이 됐으면 좋겠어.	분노
친구의 취업을 축하해 주려고 케이크를 직접 만들었는데 친구가 이게 다냬.	상처
내 친한 친구가 성적이 떨어진 걸로 너무 슬퍼하고 있어. 나는 어떻게 해야 할지를 모르겠어.	슬픔
친구들이 당신의 메모를 볼 때, 그들은 당신을 위해기도하고 격려를주기 위해 의견을 제시 할 수 있습니다.	중립
Lynda.com에서 2 주간의 무료 학습	중립
폐경으로 더 이상 생리를 안 해서 너무 기뻐.	기쁨
